"type","Course Slot","info","duration","min_registration_limit","max_registration_limit","Course Code","Course Name","credits"
"Professional Core","ES5","B.Tech, Sem 4",1,0,1000,"ES205","Fundamental of  Robotics",4
"Engineering Science","ES5","B.Tech, Sem 5",1,0,1000,"ES205","Fundamental of  Robotics",4
"Professional Core","ES5","B.Tech, Sem4",1,0,1000,"ES205","Fundamental of  Robotics",4
"Engineering Science","ES5","B.Tech, Sem 5",1,0,1000,"ES205","Fundamental of  Robotics",4
"Professional Core","Prof C4","B.Tech, Sem4",1,0,1000,"CS204","Design & Analysis of  Algorithm",4
"Professional Core","Prof C5","B.Tech, Sem 4",1,0,1000,"EC205","Microprocessor and  Interfacing",4
"Professional Core","Prof C5","B.Tech, Sem 4",1,0,1000,"ME205","Engineering Materials",4
"Professional Core","Prof C5","B.Tech, Sem 4",1,0,1000,"ME205","Engineering Materials",4
"Professional Core","Prof C5","B.Tech, Sem 4",1,0,1000,"CS205","Data Communication",4
"Professional Lab","Prof Lab1","B.Tech, Sem 4",1,0,1000,"EC206L","Microprocessor+Electronics",2
"Professional Lab","Prof Lab1","B.Tech, Sem 4",1,0,1000,"ME206L","Thermodynamics+Solid  Mechanics",2
"Professional Lab","Prof Lab1","B.Tech, Sem 4",1,0,1000,"ME206L","Thermodynamics+Solid  Mechanics",2
"Professional Core","Prof C4","B.Tech, Sem 4",1,0,1000,"ME2003","Solid Mechanics",4
"Professional Core","Prof C4","B.Tech, Sem 4",1,0,1000,"ME2003","Solid Mechanics",4
"Professional Core","DC2ME",NULL,1,0,1000,"ME2003","Solid Mechanics",4
"Professional Core","DC10SM",NULL,1,0,1000,"SM3011","Control Systems",3
"Professional Core","DC8ME",NULL,1,0,1000,"ME3009","Design of Mechanical Components",3
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303a","Soft Skills and use of  English Language",4
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303a","Soft Skills and use of  English Language",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303a","Soft Skills and use of  English Language",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303a","Soft Skills and use of  English Language",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303b","Literature in Social  Cultural Panorama",4
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303b","Literature in Social  Cultural Panorama",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303b","Literature in Social  Cultural Panorama",4
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303b","Literature in Social  Cultural Panorama",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303c","Indian Philosophy and  Literature in Engilish",4
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303c","Indian Philosophy and  Literature in Engilish",4
"Professional Elective","HS3","B.Tech, Sem 6",1,0,1000,"HS303c","Indian Philosophy and  Literature in Engilish",4
"Others","HS 3","B.Tech, Sem 6",1,0,1000,"HS303c","Indian Philosophy and  Literature in Engilish",4
"Professional Core","HS4","B.Tech, Sem 6",1,0,1000,"HS304","Environmental Science",4
"Professional Core","HS4","B.Tech, Sem 6",1,0,1000,"HS304","Environmental Science",4
"Professional Core","HS4","B.Tech, Sem 6",1,0,1000,"HS304","Environmental Science",4
"Professional Core","HS4","B.Tech, Sem 6",1,0,1000,"HS304","Environmental Science",4
"Professional Core","Prof C9","B.Tech, Sem 6",1,0,1000,"EC312","Linear Integrated  Circuit Design",4
"Professional Core","Prof C9","B.Tech, Sem 6",1,0,1000,"ME312","Heat and Mass  Transfer",4
"Professional Core","Prof C9","B.Tech, Sem 6",1,0,1000,"ME312","Heat and Mass  Transfer",4
"Professional Core","DC9CSE",NULL,1,0,1000,"CS3010","Software Engineering",3
"Professional Core","Prof C9","B.Tech, Sem 6",1,0,1000,"CS3010","Software Engineering",3
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"EC313a","Digital Communication",0
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"EC313b","Digital Signal  Processing",4
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"EC313c","IC Fabrication",4
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"ME313a","Finite Element  Methods",4
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"ME313a","Finite Element  Methods",4
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"ME313b","CNC Machine Tools  and Programming",4
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"ME313b","CNC Machine Tools  and Programming",4
"Professional Elective","OE3",NULL,1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","OE3",NULL,1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","OE3",NULL,1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","OE3",NULL,1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","OE3",NULL,1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","Prof E1 2","B.Tech, Sem 6",1,0,1000,"OE3M26","Computer Aided Design",3
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"CS313a","S/W testing and  Quality Assurance",4
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"CS313b","Network Security &  Cryptography",4
"Professional Elective","Prof El 2","B.Tech, Sem 6",1,0,1000,"CS3011","Artificial Intelligence",3
"Professional Core","DC10CSE",NULL,1,0,1000,"CS3011","Artificial Intelligence",3
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"EC314a","Antenna Theory & Design",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"EC314b","Wavelet and Filter  Bank",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"EC314c","Biomedical  Instrumentation",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314a","Vibration of  Mechanical Systems",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314a","Vibration of  Mechanical Systems",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314b","Computer Aided  Design",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314b","Computer Aided  Design",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314c","Computational Fluid  Dynamics",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"ME314c","Computational Fluid  Dynamics",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"CS8013","Mobile and Wireless Network",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"CS314b","Machine Learning",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"CS314C","Human Computer  Interactions",4
"Professional Elective","Prof El 3","B.Tech, Sem 6",1,0,1000,"CS314d","Compiler Design",0
"Professional Lab","Prof Lab 3","B.Tech, Sem 6",1,0,1000,"EC315L","DSP+Microwave",2
"Professional Lab","Prof Lab 3","B.Tech, Sem 6",1,0,1000,"ME315L","Adv.  Manufacturing+NCCNC",2
"Professional Lab","Prof Lab 3","B.Tech, Sem 6",1,0,1000,"ME315L","Adv.  Manufacturing+NCCNC",2
"Professional Elective","Prof Lab 3","B.Tech, Sem 6",1,0,1000,"CS315L","Lab based Project 3",2
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"PR499","Project",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"PR499","Project",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"PR499","Project",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"PR499","Project",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407a","Fundamentals of RF  & Microwave  Electronics",4
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407a","Fundamentals of RF  & Microwave  Electronics",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407a","Fundamentals of RF  & Microwave  Electronics",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407a","Fundamentals of RF  & Microwave  Electronics",4
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"EC8017","Internet of Things",3
"Professional Elective","OE11",NULL,1,0,1000,"EC8017","Internet of Things",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"EC8017","Internet of Things",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"EC8017","Internet of Things",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"EC8017","Internet of Things",3
"Professional Elective","OE11",NULL,1,0,1000,"EC8017","Internet of Things",3
"Professional Elective","OE11",NULL,1,0,1000,"EC8017","Internet of Things",3
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407c","Applied Photonics",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407c","Applied Photonics",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407c","Applied Photonics",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407c","Applied Photonics",4
"Professional Elective","OE1",NULL,1,0,1000,"OE2M07","Operations Research",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2M07","Operations Research",3
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"OE2M07","Operations Research",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2M07","Operations Research",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2M07","Operations Research",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"OE2M07","Operations Research",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"OE2M07","Operations Research",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2M07","Operations Research",3
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"OE2M07","Operations Research",3
"Professional Lab","Prof Lab1","B.Tech, Sem 4",1,0,1000,"CS206L","Lab based Project 1",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407e","Internet of Things  (IoT)",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407e","Internet of Things  (IoT)",4
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407e","Internet of Things  (IoT)",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407e","Internet of Things  (IoT)",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407f","Social network  Analysis",4
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407f","Social network  Analysis",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407f","Social network  Analysis",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"ES407f","Social network  Analysis",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"HS405a","Culture and  Technology",4
"Others","ES7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"HS405a","Culture and  Technology",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"HS405a","Culture and  Technology",4
"Others","ES/7/HS5/NS6/DS3/MN2","B.Tech, Sem 8",1,0,1000,"HS405a","Culture and  Technology",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"EC419a","RF and Microwave  Engineering",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"EC419b","Power Electronics",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"EC419c","Advance Filter  Design",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419a","Computer Integrated  Manufacturing",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419a","Computer Integrated  Manufacturing",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419b","Fracture and Fatigue",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419b","Fracture and Fatigue",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419c","Refrigeration and Air  Conditioning",4
"Professional Elective","Prof El 1","B.Tech, Sem 8",1,0,1000,"ME419c","Refrigeration and Air  Conditioning",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"CS419a","Computer Vision",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"CS419b","Distributed Systems",4
"Professional Elective","Prof EL7","B.Tech, Sem 8",1,0,1000,"CS419c","Quantitative  Methods in Software  Engineering",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"EC420a","Advanced Control Systems",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"EC420b","VLSI Test and Testability",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"EC420c","Information Theory  and Coding",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420a","Optimization  Techniques",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420a","Optimization  Techniques",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420b","Mechanics of  Composite Materials",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420b","Mechanics of  Composite Materials",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420c","Metal Forming",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"ME420c","Metal Forming",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"CS420a","Big Data Analytics",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"CS420b","Principles of  Programming  Languages",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"CS420c","Approximation  Algorithms",4
"Professional Elective","Prof El 8","B.Tech, Sem 8",1,0,1000,"CS420d","Randomized  Algorithms",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"EC421a","CMOS Memory  System Design",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"EC421b","Image Processing",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"EC421c","Optical  Communication",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421a","IC Engine",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421a","IC Engine",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421b","Gas Turbine and  Propulsion",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421b","Gas Turbine and  Propulsion",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421c","Quality, Reliability  and Maintenance  Engineering",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"ME421c","Quality, Reliability  and Maintenance  Engineering",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"CS421a","Image  Reconstruction",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"CS421b","Image Processing(CSE)",4
"Professional Elective","Prof El 9","B.Tech, Sem 8",1,0,1000,"CS421c","Statistical Methods in  Computer Science",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"EC422a","Nanophotonics and  Plasmonics",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"EC422b","Application of Signal  and Image  Processing",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"EC422c","Renewal Energy System",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422a","Smart Materials and  Structures",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422a","Smart Materials and  Structures",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422b","Fault Diagnosis and  Prognosis for  Engineering Systems",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422b","Fault Diagnosis and  Prognosis for  Engineering Systems",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422c","Robot Kinematics  and Dynamics",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"ME422c","Robot Kinematics  and Dynamics",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"CS422a","Natural Language  Processing",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"CS422b","Visual Cryptography  & Data Hiding",4
"Professional Elective","Project or Prof El 10","B.Tech, Sem 8",1,0,1000,"CS422c","Model Thinking",4
"Professional Elective","OE08",NULL,1,0,1000,"CS8018","Web Mining",3
"Professional Elective","OE08",NULL,1,0,1000,"CS8018","Web Mining",3
"Professional Elective","OE08",NULL,1,0,1000,"CS8018","Web Mining",3
"Others","NS2CSE",NULL,1,0,1000,"NS2001","Biology for Engineers",2
"Optional","PR2",NULL,1,0,1000,"PR2002","Discipline Project",2
"Optional","PR2",NULL,1,0,1000,"PR2002","Discipline Project",2
"Optional","PR2",NULL,1,0,1000,"PR2002","Discipline Project",2
"Optional","PR2",NULL,1,0,1000,"PR2002","Discipline Project",2
"Optional","PR2",NULL,1,0,1000,"PR2002","Discipline Project",2
"Others","PC2",NULL,1,0,1000,"PC2002","Professional Development Course",1
"Others","PC2",NULL,1,0,1000,"PC2002","Professional Development Course",1
"Others","PC2",NULL,1,0,1000,"PC2002","Professional Development Course",1
"Others","PC2",NULL,1,0,1000,"PC2002","Professional Development Course",1
"Others","PC2",NULL,1,0,1000,"PC2002","Professional Development Course",1
"Professional Elective","OE11",NULL,1,0,1000,"CS8004","Deep Learning and Applications",3
"Professional Elective","OE11",NULL,1,0,1000,"CS8004","Deep Learning and Applications",3
"Professional Elective","OE11",NULL,1,0,1000,"CS8004","Deep Learning and Applications",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2D11","Design Thinking",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2D11","Design Thinking",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2D11","Design Thinking",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2D11","Design Thinking",3
"Professional Elective","OE1",NULL,1,0,1000,"OE2D11","Design Thinking",3
"Others","PC4",NULL,1,0,1000,"PC4004","Professional Development Course4",1
"Others","PC4",NULL,1,0,1000,"PC4004","Professional Development Course4",1
"Others","PC4",NULL,1,0,1000,"PC4004","Professional Development Course4",1
"Others","PC4",NULL,1,0,1000,"PC4004","Professional Development Course4",1
"Professional Core","DS40",NULL,1,0,1000,"DS4013","Design Seminar I",0
"Professional Core","DS41",NULL,1,0,1000,"DS4014","Design Thesis II",14
"Others","PC3",NULL,1,0,1000,"PC3003","Professional Development Course 3",1
"Others","PC3",NULL,1,0,1000,"PC3003","Professional Development Course 3",1
"Others","PC3",NULL,1,0,1000,"PC3003","Professional Development Course 3",1
"Others","PC3",NULL,1,0,1000,"PC3003","Professional Development Course 3",1
"Others","PC3",NULL,1,0,1000,"PC3003","Professional Development Course 3",1
"Optional","PR3",NULL,1,0,1000,"PR3003","Optional Project",2
"Optional","PR3",NULL,1,0,1000,"PR3003","Optional Project",2
"Optional","PR3",NULL,1,0,1000,"PR3003","Optional Project",2
"Optional","PR3",NULL,1,0,1000,"PR3003","Optional Project",2
"Optional","PR3",NULL,1,0,1000,"PR3003","Optional Project",2
"Professional Elective","OE07","-",1,0,1000,"CS8016","Cloud Computing ",3
"Professional Elective","OE07","-",1,0,1000,"CS8016","Cloud Computing ",3
"Professional Elective","OE07","-",1,0,1000,"CS8016","Cloud Computing ",3
"Professional Elective","OE07","-",1,0,1000,"EC8033","Radio Frequency Integrated Circuits Design",3
"Professional Elective","OE07","-",1,0,1000,"EC8033","Radio Frequency Integrated Circuits Design",3
"Professional Elective","OE07","-",1,0,1000,"EC8033","Radio Frequency Integrated Circuits Design",3
"Professional Elective","OE07","-",1,0,1000,"OE4E69","Optical Communication",3
"Professional Elective","OE07","-",1,0,1000,"OE4E69","Optical Communication",3
"Professional Elective","OE07","-",1,0,1000,"OE4E69","Optical Communication",3
"Professional Elective","OE07","-",1,0,1000,"ME5M01","Manufacturing Science",3
"Professional Elective","OE07","-",1,0,1000,"ME5M01","Manufacturing Science",3
"Professional Elective","OE07","-",1,0,1000,"ME5M01","Manufacturing Science",3
"Professional Elective","OE07","-",1,0,1000,"OE4M70","Advanced Mechanics of Solids",3
"Professional Elective","OE07","-",1,0,1000,"OE4M70","Advanced Mechanics of Solids",3
"Professional Elective","OE07","-",1,0,1000,"OE4M70","Advanced Mechanics of Solids",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8002","Advanced Engineering Electromagnetics",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8002","Advanced Engineering Electromagnetics",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8002","Advanced Engineering Electromagnetics",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8029","Advanced Digital Filter Design",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8029","Advanced Digital Filter Design",3
"Professional Elective","OE08",NULL,1,0,1000,"EC8029","Advanced Digital Filter Design",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4E71","Satelite communication",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4E71","Satelite communication",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4E71","Satelite communication",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4M23","Business Analytics using R",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4M23","Business Analytics using R",3
"Professional Elective","OE08",NULL,1,0,1000,"OE4M23","Business Analytics using R",3
"Professional Elective","OE08",NULL,1,0,1000,"ME5D02","Mechanical Vibrations and Condition Monitoring",3
"Professional Elective","OE08",NULL,1,0,1000,"ME5D02","Mechanical Vibrations and Condition Monitoring",3
"Professional Elective","OE08",NULL,1,0,1000,"ME5D02","Mechanical Vibrations and Condition Monitoring",3
"Professional Elective","OE09",NULL,1,0,1000,"CS8017","Intrusion Detection Systems",3
"Professional Elective","OE09",NULL,1,0,1000,"CS8017","Intrusion Detection Systems",3
