"code","name","credit","lecture_hours","tutorial_hours","pratical_hours","discussion_hours","project_hours","pre_requisits","syllabus","ref_books","percent_course_attendance","percent_endsem","percent_midsem","percent_project","percent_quiz_1","percent_quiz_2","percent_lab_evaluation"
"OE3M10","Finite Element Methods for Mechanical Engineering",3,20,0,0,0,0,"","Syllabus","books",5,30,20,15,10,10,10
"ME8016","Biomaterials Science and Engineering",3,20,0,0,0,0,"","Syllabus","books",5,30,20,15,10,10,10
"EC310b","Digital System Design",2,2,0,0,0,0,"NIL","Introduction to Digital Design and Digital Logic: What is Digital? Specification and Implementation of 
digital design, Structured and Trial-Error methods in design, Digital Computer Aided Design (CAD) tools. 
Binary Number System, Octal, Hexa-decimal and BCD Codes, Number System Conversion, Use of 
different number systems in digital design, Logic gates – AND, OR, NOT, NAND, NOR etc., NAND and 
NOR implementation of real life digital circuits, Digital Circuit Characterization – Fan-in/Fan-out, 
Switching functions, Switching times, Noise margin etc. [6H]
Boolean Algebra: AND, OR and other relations, DeMorgan’s law, Karnaugh Maps, Minimization of Sum 
of Products and Product of Sums, Design of minimal two-level gate networks, Design of multiple output 
two level gate networks. [5H]
Combinational Circuit Design: Design Procedure, Design of Multiplexer, Decoder, Encoder, Comparator, 
Design of Seven-segment display, Parity generator, Design of large circuits using the above modules. [5H]
Synchronous Sequential Circuit Design: Design of sequential modules – SR, D, T and J-K Flip-flops, 
Flip-flop applications – Clock generation, Counters, Registers, Basic State machine concepts. [6H]","1. Fundamentals of Logic Design – Charles H. Roth, 5th Ed., Cengage Learning.
2. Digital Systems Testing and Testable Design – Miron Abramovici, Melvin A. Breuer and Arthur D. 
Friedman- John Wiley & Sons Inc. 
3. Logic Design Theory – N. N. Biswas, PHI
4. Switching and Finite Automata Theory – Z. Kohavi , 2nd Ed., 2001, TMH
5. Digital Design – Morris Mano, M.D.Ciletti, 4th Edition, PHI
6. Digital Circuits and Logic Design – Samuel C. Lee, PHI",10,40,20,10,5,5,10
"HS303b","Literature in Social  Cultural Panorama",4,3,0,0,1,0,"NIL","Values in Literature and Human Personality.
1. Shakespeare [8H]
- Merchant of Venice
- Hamlet
2. John Ruskin [5H]
- King’s Treasuries
- Queen’s Garden
3. Wordsworth - Daffodils
4. C. Rajagopalchari [4H]
- Ramayan (2 chapters)
Literature edifice of Society and Culture
1. Rabindranath Tagore [5H]
- The Wife’s Letter
2. Sri Aurobindo- On Rebirth of India [5H]
 (Some excerpts) 
3. Jawahar Lal Nehru [5H]
 - Gandhi Comes. (Discovery of India)
4. Premchand [5H]
- The Aim of Literature.","Abrams, M.H. Wordsworth: A Collection of Critical Essays. 1992
Bradley, John. An Introduction to Ruskin. 1971
Cook, E.T. The Works of John Ruskin. 1996
Nehru, Jawaharlal. The Discovery of India. 1994
Rajagopalchari, C. The Story of Ramayan. 2007
The Oxford India Premchand
(New Delhi: Oxford University Press, 2004
Scott, David. Shakespeare and the Shapes of Time. 1982
Wells, Stanley. Shakespeare a Life in Drama. 1995
Wordsworth, Jonathan. William Wordsworth: The Borders of Vision. 1982
The Oxford Tagore.",10,40,20,10,5,5,10
"CS311L","Lab based Project 2",2,0,0,3,0,0,"NIL","-","-",10,40,20,10,5,5,10
"ES406c","Sensros and Actuators",4,2,0,2,0,0,"NIL","1. Introduction : Classification of sensors and actuators, sensing and actuating strategies, general 
requirements for interfacing and actuation, sensing, transduction, actuation. [2 H] 
2. Performance Characteristics of Sensors and Actuators: Input/output characteristics, accuracy, errors, 
repeatability, sensitivity analysis, hysteresis, Nonlinearity, saturation, frequency response, dynamic 
characteristics, calibration, resolution, excitation, impedance, applications. [3 H]
3. Temperature Sensors and Thermal Actuators: Thermoresistive sensors: Thermistors, Resistance 
temperature sensors, Silicon resistive sensors, Thermoelectric sensors, PN junction temperature sensors, 
Optical and acoustic temperature sensor. [3H] 
4. Optical sensors: Photodiodes, phototransistors and photoresistors based sensors, Photomultipliers, lightto-light detectors, infrared sensors (thermal, PIR, AFIR, thermopiles), CCD sensors and detectors. [3H] 
5. Electric and Magnetic Sensors and Actuators: Motors as actuators (linear, rotational, stepping motors), 
magnetic valves, inductive sensors (eddy current, LVDT, RVDT, Proximity), Hall Effect sensors, 
Magnetoresistive sensors, Magnetostrictive sensors and actuators, Magnetometers (fluxgate, search-coil, 
Squid), Voice coil actuators (speakers and speaker-like actuators), Bolometers (microwaves). [4 H]
6. Mechanical Sensors and Actuators: Accelerometers (capacitive, piezoelectric, piezoresistive, thermal), 
Force sensors (strain gauges, tactile sensors), Pressure sensors (semiconductor, piezoresistive, capacitive, 
VRP), Gyroscopes (mechanical, optical, fiber-optics). [5 H]
7. Acoustic Sensors and Actuators: Ultrasonic sensors (piezoelectric, electromagnetic), Piezoelectric 
actuators, Piezoelectric Resonators, Microphones, hydrophones, speakers, buzzers. [3 H]
8. MEMs and Smart Sensors: Micro-Electro-Mechanical (MEMs) Sensors and Actuators, Smart sensors, 
ASIC based sensors, Wireless Sensors and Issues Associated with Wireless Sensors, Sensor Arrays). [3H] 
11. Interfacing Methods and Circuits: Amplifiers: operational amplifiers, power amplifiers, A/D and D/A 
converters, bridge circuits, interfacing to microprocessors, data transmission, excitation methods and 
circuits, Power requirements, signal translation, isolation, noise, interference, compensation (Temperature, 
drift, etc.). [2H] 
Lab work
1] Experiment on Strain Gauge. 
2] Experiment on LVDT. 
3] Digital-to-Analog converter using R-2R & Binary. 
4] Experiment on Optical Transducer. 
5] Study of H-Bridge & design using Transistors. 
6] Study of PWM (Pulse Width Modulation) & its use to control the speed of a DC Motor. 
7] Study of Stepper Motor & its control circuit. 
8] Study of Servo Motor & its control circuit. 
9] Assembly of Speaker (Study of Voice Coil Actuator). 
10] Experiment on Basic Op-Amp Circuit & its use as comparator. 
11] Demonstration of Piezoelectric Actuation. 
12] Construction of Project.","1. Ida, N., Sensors, Actuators, and their Interfaces; Scitech Publishing
2. deSilva, Sensors and Actuators: Control System Instrumentation, CRC Press",10,40,20,10,5,5,10
"EC313c","IC Fabrication",4,3,0,0,0,0,"NIL","The Science of Miniaturization: Moore’s Laws (1,2,&3) and technology’ Roadmap–clean rooms 
Processing Methods: - Cleaning, oxidation, lithography, etching, CVD, diffusion, ion implantation, 
metallization, state of the art CMOS architectures photolithography overview ,critical dimension, 
overall resolution, line-width, lithographic sensitivity and intrinsic resist sensitivity (photochemical 
quantum efficiency), resist profiles, contrast and experimental determination of lithographic 
sensitivity, resolution in photolithography, photolithography resolution enhancement technology.
 [12H]
Nanostructuring by Physical Techniques: Next-generation technologies: state-of-the-art 
(including principles, capabilities, limits, applications) EUV lithography, phase-shifting 
photolithography, x-ray lithography, electron beam direct writing system, focused ion beam (FIB) 
lithography, neutral atomic beam lithography, plasma-aided nanofabrication, soft lithography, 
nanosphere lithography, nanoimprint, dip-pen nanolithography, key consequences of adopted 
techniques. [12H]
Nanomanipulation and Processing: Conventional techniques: scanning tunneling microscopy 
(STM), atomic force microscopy (AFM), near-field scanning optical microscopy (NSOM), 
advanced techniques: embossing and surface passivation, dimensional subtraction and addition, 
multistep Processing, of microcontact printing, Molding, implications and applications of the 
conventional and advanced techniques.  [10H]
Nanometer Devices: Material Wave Nanotechnology: Nanofabrication using a de broglie wave electron beam holography, atomic beam holography, nanometer lithography using organic 
positive/negative resists – sub-10 nm lithography using inorganic resist – 40 nm-gate-length metal oxide-semiconductor field-emitter-transistors-14 nm gate-length electrically variable shallow 
junction MOSFETs-operation of aluminum-based single-electron transistors at 100 kelvins- room 
temperature operation of a silicon single-electron transistor.        [8H]","1. VLSI Technology,S. M. Sze, McGraw Hill, II , 1988 
2. VLSI fabrication principles, S. K. Gandhi,,""John Wiley, New York"",1983
3. ULSI Technology,C. Y. Chang. S. M. Sze,McGraw Hill companies,1996
4. Silicon VLSI Technology Fundamentals, Practice and Modeling James 
D. Plummer Michael, D. Deal Peter B. Griffin Department of Electrical Engineering Stanford 
University
5. Guozhong Cao, Nanostructures & Nanomaterials Synthesis, Properties G; Z: Applications, 
World Scientific Publishing Private, Ltd., Singapore (2004). 
6. W.R.Fahrner, Nanotechnology and Nanoelectronics – Materials, Devices, Measurement 
Techniques, Springer-Verlag Berlin, Germany (2006).",10,40,20,10,5,5,10
"CS315L","Lab based Project 3",2,0,0,3,0,0,"NIL","Lab Based Project 3","NIL",10,40,20,10,5,5,10
"CS417a","Advanced Computer Architecture",4,3,0,0,0,0,"NIL","Introduction: Microprocessor Advances, Number of transistors, Chip size, Power dissipation [1 H]
Pipeline execution and Hazard avoidance: Simplified Computer structure, Clock synchronous design,
Instruction fetch, decode, Operand read, ALU operation, LSU operation, Result write back; Pipeline
Execution, Eliminating structural hazard, Resource scheduling, Data hazard, Pipeline control, Branch
instruction execution, Pipeline processor performance, Number of pipeline stages. [5H]
Review of Cache and its Performance Effect: Performance effect of memory access, Performance effect
of cache, Cache structure, Direct map, Full associative, Set associative, Cache management, LRU, Multilevel cache, I/D split cache, How cache works. [2H]
Review of Arithmetic Units: Binary number representation, 1bit full adder, Ripple carry adder, Generate
and Propagate signals, Parallel prefix Adder, Kogge-Stone adder, Han-Carlson adder; Multiplier, Binary
multiplier, Booth’s algorithm, Radix-4 modified Booth algorithm, Wallace tree, Pipelined Multiplier;
Division, Restoring division, Non restoring division, SRT division; Floating point numbers, IEEE754,
Floating point adder, Floating point multiplier, Iterative floating point division, Newton-Raphson method,
Goldschmidt method. [5 H]
Memory management and Protection Mechanism: Segment based memory management, Page based
memory management, Page table, Memory protection, Supervisor/User mode, Translation look-aside buffer
(TLB), Multi level page table, Large page, Virtually indexed-physically tagged cache, TLB for multiprocessing, Virtual storage, Virtual machine. [4H]
Architectures for Higher Performance: Superscalar execution, Out-of-Order execution, Anti-dependency
hazard, Register renaming, Reorder buffer, Pipelined non-blocking cache, Load store unit, Memory disambiguation, Commit mechanism, Control hazard reduction, Branch prediction, Single level 2bit predictor,
Tow level predictor, Branch target buffer, Return stack. [6H]
Multi-processor System: Shared Memory system, Cache coherency, MSI protocol, snoop invalidate,
snoop writeback, MESI, MOSI, MOESI, MESIF protocol, False sharing; Multiprocessor memory access,
Mutual exclusion, Atomic memory access; Shared memory system, Distributed memory system; Static and
dynamic networks, Static network topologies, Bisection band width, network diameter, dynamic network
topology, Fat tree; Shared memory multiprocessor OS, Shared memory system programming, fork exec,
pthread, OpenMP, Multiprocessing with distributed memory system, Programming with MPI Library. [7 H]
Basic ARM Architecture: Memory and addressing, Registers, Program counter, Condition codes, The
instruction set, Group1: data manipulation (arithmetic operation and logical operation), Group2: load and
store, Group3: multiple load and store, Group4: branch, Group5: software interrupt. [6H]
ARMv7-Architecture:32-bit-addressing,Application Program Status Register(APSR),SIMD, Thumb.[3H]
ARMv8-A Architecture: 64-bit addres","1. David A. Patterson, John L. Hennessy, “Computer Organization and Design, Fifth Edition: The
Hardware/Software Interface (The Morgan Kaufmann Series in Computer Architecture and Design)
2. Kai Hwang, Advanced Computer Architecture: Parallelism, Scalability, Prgrammability, McGrawHill Inc.,US, 1993.
3. Betty Prince, High Performance Memories: New Architecture DRAMs and SRAMs — Evolution
and Function, 1st Edition, Wiley, 1996.
4. ARM® Architecture Reference Manual ARMv7-A and ARMv7-R edition.
5. ARM® Architecture Reference Manual ARMv8, for ARMv8-A architecture profile Errata markup.",10,40,20,10,5,5,10
"PR499","Project",4,0,0,0,0,0,"NIL","-","-",10,40,20,10,5,5,10
"CS206L","Lab based Project 1",4,3,0,2,0,0,"NIL","Lab Based Project 1","NIL",10,40,20,10,5,5,10
"CS310b","Parallel Computing",2,2,0,0,0,0,"NIL","Paradigm of Parallel Computing: Flynn’s taxonomy, Pipelining, SIMD, MIMD, Classification of parallel 
computers [05 H]
Programming Parallel Computers: Parallel Programming, Parallel Languages, Cognitive Training 
 [04 H]
Connectivity: Synchronizing Communications, role of Memory, Network design, System Interconnections 
 [04 H]
Data Flow Computer: dataflow graphs, elements of dataflow computers [04 H]
Software Issues in Parallel Computing: ideal Situation, using existing serial programs [[04 H]","1. Elements of Parallel Computing, V Rajaraman, Prentice Hall, 2006 
2. Parallel Computing: Principles and Practice, T. J. Fountain, Cambridge University press, 2006",10,40,20,10,5,5,10
"ME1001","Introduction to Profession(me)",4,30,0,0,0,0,"","syllabus","book",5,30,20,15,10,10,10
"ES102","Fundamentals of Computing",4,2,0,3,0,0,"NIL","Introduction: Basics of operating system, Components of Computer, Memory hierarchy, Number System
[4H]
Overview of C: Constants, Variables, and Data Types, Operators and Expressions [4H]
Input/ Output: Managing Input and Output Operations, Formatted Input / Output [2H]
Decision making & Iterations: Decision Making and Branching, Decision Making and Looping
[2H]
Advanced topics: Arrays, Character Arrays and Strings, User-Defined Functions [4H]
Structures and Unions, Pointers, Dynamic Memory Allocation and Linked Lists [8H]
File Management in C, The Preprocessor directives and Header Files, Developing a C Program: Some Guidelines. [4H]","Text/Reference books:
1. E. Balaguruswamy, Programming in ANSI C, 5th Edition, Tata McGraw-Hill Education, 2011
2. B. W. Kernighan and D. Ritchie, The C Programming Language, 2nd edition, Prentice Hall, 1990
3. Y. Kanitkar, Let Us C, 8th Edition, Infinity Science Press, 2008
4. H. Schildt, The Complete reference C, 2nd Edition, Tata McGraw-Hill Education, 1987",10,40,20,10,5,5,10
"NS103","Mathematics-II",4,3,1,0,0,0,"NIL","Ordinary Differential Equation [28 H]
Introduction to Differential equations, 1st order ODE, Geometrical interpretation, Variable separable forms, Exact equations, Integrating factors, Linear ODE’s, Orthogonal Trajectories, Higher order linear differential equations, general solution of ODEs, Method of using known solutions, Method of removal first derivative, Existence & uniqueness, Wronskian, Series solution method & Special function , ODE’s with constant & variable co-efficient, Laplace Transform,
Partial Differential Equation [14 H]
Classification of PDE, First and Second order PDE, Fourier series and Fourier Transform, Introduction to parabolic( Heat Equation), elliptic( Laplace Equation) and hyperbolic equations(Wave Equation).","Text/Reference books: 1. Advanced Engineering Mathematics by Erwin O. Kreyszig,
2. An elementary Course in PDE by T. Amarnath.
3. E. A. Coddington and N. Levinson, Theory of Ordinary Differential Equations",10,40,20,10,5,5,10
"NS205g","Modern Physics",4,3,0,2,0,0,"NIL","Special theory of relativity, Length contraction, time dilation, dopper effect, velocity addition, relativistic energy and momentum, concept of four vector [6 H]
Early development of quantum theory, Blackbody radiation, Photoelecctric effect, Compton scattering
[3 H] Modern development, De Broglie’s hypothesis and Schrodinger’s equation, The Statistical Interpretation, Normalization and expectation values, The Uncertainty Principle [4 H]
Stationary States, Particle in a box, The Harmonic Oscillator, The Free Particle, potential step and barrier
[6 H]
Series Solutions to Legendre’s Equation, Associated Legendre’s Equation, Bessel equation and Hermite equations, Generating function and orthogonality, Laguerre Functions and associated Laguerre Functions
[14 H]
Schrodinger Equations in Spherical Coordinates, The Hydrogen Atom, Angular Momentum, addition of angular momentum, Spin, identical particles and quantum statistics [9 H]","Text/Reference books:
1. Introduction to quantum Mechanics: David J Griffiths
2. Concepts of Modern physics: Arthur Beiser
3. Introductory quantum mechanics: Richard L Liboff
4. Modern physics: Kenneth S. Krane",10,40,20,10,5,5,10
"ES101","Fundamentals of Electrical and Electronics Engineering",5,3,0,2,0,0,"NIL","D.C. Circuits
Ohm’s law, Kirchoff’s laws, Nodal Analysis, Mesh Analysis, Superposition Theorem, Source 
Transformations, Thevnin’s and Norton’s Theorems, star/delta transformation, maximum power transfer 
theorem, Transients. [10H]
A.C. Fundamentals
Single phase EMF generation, average and effective values of sinusoids, Solution of series and Parallel 
Circuits, power and power factor, Resonance in series and parallel circuits, steady state analysis for 
sinusoidal excitation: Sinusoids, Three phase connections: star and delta. [10H]
Magnetic Circuit
MMF, Magnetising force, Magnetic flux and flux density, permeability, Reluctance and permeance, B-H 
curve, Simple magnetic circuits, Hysteresis and eddy current loss. [2H]
Transformers
Single-phase transformer Construction, principle of operation, EMF equation, phase diagram on no-load 
and full-load, losses and efficiency, open and short circuit test, auto transformer. [5H]
D. C. Machines
Construction, EMF equation, various types and characteristics D. C. Generator Principle, torque and 
speed formula, types and their characteristics, Speed control. [5H]
Semiconductor Devices
Semiconductor Diode and its V-I characteristics, Rectifier circuit, Various types of diodes, Zener diode, 
PIN Diode, Light emitting diode, gun diode Semiconductor BJT, Working principle, Transistors in CC, 
CE, and CB configurations, transistor biasing, V-I characteristics and load line concept with Quiescent
point, Transistor H parameter. [10H]
Laboratory Experiments [16H]
Introduction and familiarization to the lab equipments and common components:
a) Study of CRO
b) Study of Function genertaor
c) Study of Multimeter
d) Familirization with Breadboard, resistances, capacitances, diodes, transistors, etc.
Study of PN-Junction Diode Characteristics: To study and plot the forward and reverse bias 
characteristics of a general purpose pn junction diode.
Study of half-wave rectifier circuit: To construct a half-wave rectifier circuit, and observe waveforms 
and find average output.
Study of center-tapped full-wave rectifier circuit: To construct a full-wave rectifier circuit, and observe 
waveforms and find average output.
Study of Zener Diode as a Voltage Regulator: To study and analyze use of a zener diode as a voltage 
regulator.
D.C. Circuits
Ohm’s law, Kirchoff’s laws, Nodal Analysis, Mesh Analysis, Superposition Theorem, Source 
Transformations, Thevnin’s and Norton’s Theorems, star/delta transformation, maximum power transfer 
theorem, Transients. [10H]
A.C. Fundamentals
Single phase EMF generation, average and effective values of sinusoids, Solution of series and Parallel 
Circuits, power and power factor, Resonance in series and parallel circuits, steady state analysis for 
sinusoidal excitation: Sinusoids, Three phase connections: star and delta. [10H]
Magnetic Circuit
MMF, Magnetising force, Magnetic flux and flux density, permeability, Reluctance and permeance, B-H 
curve, Simple magnetic circuits, Hysteresis and eddy current loss. [2H]
Transformers
Single-phase transformer Construction, principle of operation, EMF equation, phase diagram on no-load 
and full-load, losses and efficiency, open and short circuit test, auto transformer. [5H]
D. C. Machines
Construction, EMF equation, various types and characteristics D. C. Generator Principle, torque and 
speed formula, types and their characteristics, Speed control. [5H]
Semiconductor Devices
Semiconductor Diode and its V-I characteristics, Rectifier circuit, Various types of diodes, Zener diode, 
PIN Diode, Light emitting diode, gun diode Semiconductor BJT, Working principle, Transistors in CC, 
CE, and CB configurations, transistor biasing, V-I characteristics and load line concept with Quiescent
point, Transistor H parameter. [10H]
Laboratory Experiments [16H]
Introduction and familiarization to the lab equipments and common components:
a) Study of CRO
b) Study of Function genertaor
c) Study of Multimeter
d) Familirization with Breadboard, resistances, capacitances, diodes, transistors, etc.
Study of PN-Junction Diode Characteristics: To study and plot the forward and reverse bias 
characteristics of a general purpose pn junction diode.
Study of half-wave rectifier circuit: To construct a half-wave rectifier circuit, and observe waveforms 
and find average output.
Study of center-tapped full-wave rectifier circuit: To construct a full-wave rectifier circuit, and observe 
waveforms and find average output.
Study of Zener Diode as a Voltage Regulator: To study and analyze use of a zener diode as a voltage 
regulator.","Text/Reference books:
1. V. Del Toro, “Electrical Engineering Fundamentals,” 2e, Printice Hall of India 1994.
2. Millman Jacob and Christos C. Halkias, “Integrated Electronics: Analog and Digital Circuits and Systems,” McGraw Hill, 2004.
3. Robert L. Boylestad and Louis Nashelsky, “Electronics Device and Circuit Theory,” 9e, Pearson Education India, 2005.",10,40,20,10,5,5,10
